word	freq_piyut	freq_memar	memar_he_candidate	conf	source	context
רמע	11	0		0	פיוט #90 — צלות שבת צמות הפסח	וימנן כבדים : נפרט מלי משה * רום המלמדים : נצלי נסגר קמי * רמע
ויצילך	11	0		0	פיוט #97 — צלות שבת צמות הפסח	יריקה : ויסר מנך כל תועבה י ותהי מנך רחוקה : ויסלח לך כל חובה * ויצילך
יצילך	11	0		0	פיוט #108 — צלות לילת חדש הראישון רטשה	ניחח אשה : בו יצילך טן זירנה י ומכל דבב וקשה : ויבד מי לך סנא * ומן
ננציר	11	0		0	פיוט #196 — ושמרת את החקה הזאת למועד מימים ימימה	ננציר לו בכל עמלי
ובשביעי	11	0		0	פיוט #203 — צלות מרעד הפסח במדינה	ובשביעי תחג לקדש בל מבון :
הסליחן	11	0		0	פיוט #250 — צלות שבעת יומי חג המצות צפרה	צבעני * וטהרני • ובענני הסליחן והרחמים טללני * וטמרני • ובמשכן השובה
סליחות	10	1		0	פיוט #657 — צלות מועד השמיני	סליחות ורחמים *
רח	9	1		0	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן	טובו וחסדו עמדתי בין ידיך אדרש רח־מיך וחסדיך אימר קטיך אה אדני יז
יתנלג	10	0		0	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך	וידבר אלהים את כל הדברים האלה לאמר אנכי יהוה אלהיך : יתנלג שמך :
לש	10	0		0	פיוט #14 — בלבה אלילו	•ובשר לש עינן , נ .רסומך רחמנה £
ום	9	1	מגנ	0.283	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו	זרועו נטועיה • וכוחו נרול ועצ ום : זמרת ' ועזי שקית * בכל יום ומקום :
וכ	7	3	ודע	0.743	פיוט #20 — לעבודה • ישתבח אלהים : לית אלה אלא אחד	דריקה רלבר מנה * דעתיד לק מ כל מנויאן * וכ ן'כתיב בשירתה רבתה *
בציאתך	10	0		0	פיוט #75 — צלות שבת צמות הפסח	ויקים לך מה כתב • בקדוש ארהותך : ברוך אתה בבאך * וברוך אתה בציאתך :
ואלקטף	10	0		0	פיוט #115 — צמת ירם חדש הראישון צפרה	רחמיך במה אתקדם רמשה ובי בשם וקצי הבריח ואלקטף ברית חברון
בג	6	4		0	פיוט #147 — צלות יום חדש הראישון אז אתא בשבת	על מה יהבנן • ובו אה בג ן * וקדשנן • ואסנלנן * ועם קרע •טמנן ־ ודת מעה
אנציר	8	2		0	פיוט #161 — צ* ב שבת וראישון	אנציר לו בלבי :
גלגי	8	2		0	פיוט #502 — צלות שבת הדברים	מתנים גלגי עקבותו :
הזבוג	10	0		0	פיוט #611 — ישתבח קעימה דלא מאת	וחקת הזבוג הודיע:
למודע	8	2	להודיע	0.64	פיוט #612 — 'לשבת :	רמשמרתו למודע * בעזוב כל עבידה * וזאת אות הברית * אשר לא תכרת :
סגור	9	0		0	פיוט #13 — צלות מרקה	פני אתה ושקיח • למן רבעי לך מקשט : פשר לכל סגור י רבעי לך
זזע	9	0		0	פיוט #13 — צלות מרקה	רחמנה בתבון * באצבע לקלומה : רחטנה זזע בגלל מתנון :
רטובה	5	4		0	פיוט #14 — בלבה אלילו	שראה רטובה • שבאה דשלמה : שרי עלינן • אלהן בטובך :
תסתגד	9	0		0	פיוט #15 — צלות עמרם , דרה רצון יהוה וסליחתו עליו אמן	תשתבח תתרבי ־ תתרומם לעלם : תתיקר תתברך * תסתגד לעלם :
רקרא	9	0		0	פיוט #16 — לכהנה רבה עמרם דרה רצון יהוה עליו	קראה רקרא • לא יהי לך אלהין : קרא טר ית י יום שבתה לקדושה :
נה	6	3	לעדה	0.399	פיוט #16 — לכהנה רבה עמרם דרה רצון יהוה עליו	סהדות נביות משה • מן יבטל נה : סהדה *אלה • וטף ידגלנה :
להרנריזים	9	0		0	פיוט #22 — תורנים תתמר בשבתות	עלמה כר ייתי רו נגד 'עמה שלמה • וגלי לרחותה י ומרכי להרנריזים
זעיק	9	0		0	פיוט #24 — עלי ואלה שמות ג* ג אלישתבח	מנשמה אהן רנשם אלה כלה • אלאן קהל ישראל רו זעיק בר ועבר
סליחתה	6	3	הסליחה	0.746	פיוט #31 — עורן כן על מועדיה וראשי ירחיה	ז תרח סליחתה דכתיב לנבה פתיח לאלין דשנין בסריחתון יפיסן וינחמן
עו	4	5		0	פיוט #56 — ז עודנה על שבתה חמישה דיזמן	עבדיך י מנזף אי מחבלי מן טובך וסיעדיך ׳ אה תקיף רביאנך דרמין עו ב דיך •
וינציר	9	0		0	פיוט #186 — צלות מועד הפסח במדינה	נדל לאלהינו האמת : עבד על כל שמעיו יצית : וישבח בלב יפת : וינציר
קמיבון	9	0		0	פיוט #283 — צלות שבת מועד חג המצות	לקדש טברינו : ועל חסול זה ניטר * קמיבון בארכנו : ברוך אתה בחסדך •
וט	8	1		0	פיוט #291 — צלות שבת מועך חג המצות	השם : ועבר בין צבאות • הקדש והוה מי יום וט • לילה צעם : וקבל תרי
קשיטותה	9	0		0	פיוט #311 — דכור מן מימר עבד אלה בן שלמה ירחמו יהוה	ותקשט ותתקשט * וזאת קשיטותה : תוריעך בעודני י עדני אנשמותה :
סופיר	9	0		0	פיוט #330 — לית לעורן בה נמי	במעשיו עם האיש הזוכיר : וחדות עלמה קמת * לנו מן זה במה סופיר : עד
צו	9	0		0	פיוט #466 — וחתמת מימרי לוכון * תנים יומה מאה שתה	יתהלל אלהים ואתי ל צו כי בשם
גליגאתו	9	0		0	פיוט #558 — צלות מועך חג הקציר במדינה	משתעבדים * זזעיו רב וקשה : וכל מנון יתן גליגאתו * ויררש בטהרות
דגעזו	0	9	העולמ	0.428	מימר מרקה I:4 (ספר פליהתה)	…סלקה לידי בתנחו דלה תלתה פס » ק « ולין רברבים ביד יתון טביה דגעזו…
יסתגד	8	0		0	פיוט #6 — צלות מרקה — עבודה דעלמה אלהים יסתגד	עבודה דעלמה • אלהים יסתגד : אלהון דזכאי • ומרון דתאביה :
זאן	8	0		0	פיוט #6 — צלות מרקה — עבודה דעלמה אלהים יסתגד	כל פממין שתיקין • ומללין את זאן : כל פם דבה ממלל • יכרז לך תשבחן :
סבילה	8	0		0	פיוט #13 — צלות מרקה	ימינך סבילה * בל רלעל ולרע : ימיך לאבהתן • לית שבק לבניין :
מש	5	3	שכנ	0.334	פיוט #15 — צלות עמרם , דרה רצון יהוה וסליחתו עליו אמן	מש
בק	6	2		0	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו	ז נצבע לה בכסי בק דמה דידבקנן * אלהה דאברהם ויצחק ויעקב * שמע
חו	8	0		0	פיוט #20 — לעבודה • ישתבח אלהים : לית אלה אלא אחד	אתהו יקירה חילה רכסי מכלה * וכל רכסי וגלי לא עמי לך * מן ישום חו
באנצירו	6	2		0	פיוט #20 — לעבודה • ישתבח אלהים : לית אלה אלא אחד	באנצירו • רו מתעיני מכל מנוי * ווילון אלין דכפרין בה * ובעין רחצונה
שוטיה	8	0		0	פיוט #31 — עורן כן על מועדיה וראשי ירחיה	שוטיה ־ וברה דיוכבד טררם ׳לגבה ולא מנכי לעלם נימר:
בח	8	0		0	פיוט #46 — בשבת הרבעי	נקר ארצתה ונש בח ונאמר מלנו לח צה רבה כי נפושד . קריב ואתה
קרוש	8	0		0	פיוט #60 — ישתבח אלהים לית אלה אלא אחד	גלא יהוה קרוש • זה יום השבת ומשמרו * על יד אדונן משה • בתור ה'ספרו :
הקרושה	8	0		0	פיוט #63 — *עורן כן מן מימר מרקה : עליו הרצון אמן	פם אחד אימנותי בך יהוה : ובמשה עבדך ובתורה הקרושה ובהרנריזים בית
יציל	8	0		0	פיוט #64 — תפלה * , אלתפלה ג *-גו אבישע	רמי לנו בלעדי : טובך לו נשאל : יחח לתלתותן : ומן עקתה יציל : אה קרוב
הושיע	8	0		0	פיוט #64 — תפלה * , אלתפלה ג *-גו אבישע	ישוענו אתה : הושיע וצדק והשקף : עלינו מן השמים : ומן המטר הוסף :
נסתכל	6	2	נתבוננ	0.424	פיוט #64 — תפלה * , אלתפלה ג *-גו אבישע	על פתח רחמיך נעמד : ואליך נפרש היד : נסתכל ישועתך : אה ים הטוב
ןכ	8	0		0	פיוט #74 — לית בבל יוטיה : וטרקה אתהו עבורן * ישתבח	כימי השמים על הארץ • עוד כימי אבות ובנים ןכ ל ימי דורות וחליפותם •
בשטח	8	0		0	פיוט #78 — צלות שבת צמות הפסח	אהרן לקראתו • בשטח ובחסד : שא עיניו מרחק * עמה נור מכבר : כסה נור
עג	8	0		0	פיוט #90 — צלות שבת צמות הפסח	בידים * עג * יוס השבח מרבי שמורי קרסו מ
אלהיבם	8	0		0	פיוט #93 — צלות שבת צמות הפסח	אלהיבם * ■קסי ה * •יעל מ ׳ ,ול • סם ' י .לחזותו *
וע	5	3	ועד	0.671	פיוט #109 — גלות לילה חדש הראישון רמשה	בבר וע
גלוג	8	0		0	פיוט #139 — צלות יום הדש הראישון אן אתא בשבת	גלוג עלמה המדע * גלו נ מור נצנץ • על מן אתנלג בו • ובפאתיו* אתפרק :
